epoch,train_loss,val_auroc,val_auprc,val_f1,val_accuracy,val_sensitivity,val_specificity,learning_rate,learning_rate_start,learning_rate_end,learning_rate_mean,epoch_time_seconds,best_checkpoint_this_epoch,val_threshold,best_val_metric,best_val_metric_name,num_bad_epochs,train_time_seconds,val_time_seconds
0,0.2924536092242596,0.997189284145806,0.9975987095094582,0.9783549783549783,0.9766355140186916,0.9826086956521739,0.9696969696969697,0.0004001336005344021,0.0,0.0004001336005344021,0.00020040080160320644,2.6941577084362507,True,0.2126251459121704,0.997189284145806,auroc,0,2.438434276729822,0.21632425859570503
1,0.13249283367324813,0.9990338164251208,0.9992114636865431,0.9912280701754386,0.9906542056074766,0.9826086956521739,1.0,0.0008002672010688042,0.0004001336005344021,0.0008002672010688042,0.0006005344021376086,2.0846398193389177,True,0.997772753238678,0.9990338164251208,auroc,0,1.7935523372143507,0.1782043930143118
2,0.11283985282627178,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009997257248720195,0.0008002672010688042,0.0009997257248720195,0.0009502708633612238,2.0471477694809437,True,0.9818199872970581,1.0,auroc,0,1.823341827839613,0.18395078368484974
3,0.0839284323855538,0.9999121651295565,0.999925037481259,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0009975388029093237,0.0009997257248720195,0.0009975388029093237,0.000998812276642304,1.9927281476557255,False,0.7595718502998352,1.0,auroc,1,1.8178425058722496,0.17488197423517704
4,0.06824275091459947,0.9997364953886694,0.999778924097273,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0009931763467888243,0.0009975388029093237,0.0009931763467888243,0.0009955345774349587,1.9883594084531069,False,0.9978615641593933,1.0,auroc,2,1.813033813610673,0.17532168701291084
5,0.061450957871999945,0.9998243302591129,0.9998513563730953,0.9956331877729258,0.9953271028037384,0.991304347826087,1.0,0.0009866574317509784,0.0009931763467888243,0.0009866574317509784,0.0009900901077299587,3.2780019659549,False,0.9913045167922974,1.0,auroc,3,3.035626297816634,0.2423723340034485
6,0.051653205731554026,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009780105623511167,0.0009866574317509784,0.0009780105623511167,0.0009825026739716356,2.6264403853565454,False,0.9522800445556641,1.0,auroc,4,2.4592339731752872,0.16720006056129932
7,0.052416624330708726,0.9999121651295565,0.9999250374812592,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0009672735478206543,0.0009780105623511167,0.0009672735478206543,0.0009728054529116612,2.176064031198621,False,0.9821258783340454,1.0,auroc,5,1.9928842838853598,0.18317523784935474
8,0.041508027328001816,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.000954493336742752,0.0009672735478206543,0.000954493336742752,0.0009610408465406514,2.025869769975543,False,0.9947636127471924,1.0,auroc,6,1.846583854407072,0.17928274162113667
9,0.04445608303561894,0.9994729907773386,0.9995620667926906,0.991304347826087,0.9906542056074766,0.991304347826087,0.98989898989899,0.0009397258117653182,0.000954493336742752,0.0009397258117653182,0.0009472602966815624,2.0384408440440893,False,0.966144859790802,1.0,auroc,7,1.8590711317956448,0.17936657555401325
10,0.03603834827119198,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009230355452489947,0.0009397258117653182,0.0009230355452489947,0.0009315240600555913,2.0168509129434824,False,0.9965805411338806,1.0,auroc,8,1.8386020176112652,0.17824557982385159
11,0.0349895391544834,1.0,1.0,1.0,1.0,1.0,1.0,0.0009044955169185722,0.0009230355452489947,0.0009044955169185722,0.0009139009448041233,2.0623569525778294,False,0.9864110350608826,1.0,auroc,9,1.8779886271804571,0.18436525017023087
12,0.03921340428320349,0.9999121651295565,0.9999250374812595,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0008841867947524349,0.0009044955169185722,0.0008841867947524349,0.0008944680096188068,2.060457905754447,False,0.9939581155776978,1.0,auroc,10,1.882985146716237,0.17746944352984428
