model,num_trainable_params,mean_window_latency_ms_batch1,p50_window_latency_ms_batch1,p95_window_latency_ms_batch1,mean_record_latency_ms,windows_per_second_batch16,records_per_second,timing_scope
CNN1D c256 n3 k7,288769,5.507248878479004,0.7417778968811035,26.9528751373291,6.8798604011535645,852.2131322102963,145.35179412242252,model_forward_sigmoid_max_only_excludes_loader_tensor_transfer_io
ECGMamba-BiLSTM d128 h64 n2,251265,49.02348709106445,49.14690017700195,91.06879425048828,66.38935089111328,223.71948715123105,15.062658556980685,model_forward_sigmoid_max_only_excludes_loader_tensor_transfer_io
BiLSTM h128 n2 bi,529665,179.40695190429688,195.2967529296875,196.9257202148437,278.6020812988281,34.82444241386354,3.5893484530051896,model_forward_sigmoid_max_only_excludes_loader_tensor_transfer_io
ECGMamba-BiSSM,510209,431.3443298339844,407.7398986816406,490.94287109375,600.0957641601562,13.564870710967895,1.666400690457361,model_forward_sigmoid_max_only_excludes_loader_tensor_transfer_io
ECGMamba-BiMamba d128 n2 s64,682881,205.30697631835932,196.8653717041016,260.82879638671875,1215.2437744140625,6.153539953747036,0.8228801116287577,model_forward_sigmoid_max_only_excludes_loader_tensor_transfer_io
Mamba d128 n4 s64,649473,239.7042694091797,221.2714233398437,286.6719055175781,1480.7894287109375,1.1584998158990594,0.6753154912908568,model_forward_sigmoid_max_only_excludes_loader_tensor_transfer_io
