epoch,train_loss,val_auroc,val_auprc,val_f1,val_accuracy,val_sensitivity,val_specificity,learning_rate,learning_rate_start,learning_rate_end,learning_rate_mean,epoch_time_seconds,best_checkpoint_this_epoch,val_threshold,best_val_metric,best_val_metric_name,num_bad_epochs,train_time_seconds,val_time_seconds
0,0.2917526503139646,0.9938515590689504,0.994240035883958,0.9745762711864406,0.9719626168224299,1.0,0.9393939393939394,0.0004001584786053883,0.0,0.0004001584786053883,0.00020047543581616482,3.8857653960585594,True,0.12872296571731567,0.9938515590689504,auroc,0,3.441776443272829,0.33093679882586
1,0.14587522339546075,0.9991216512955643,0.9992538736539613,0.9868995633187773,0.985981308411215,0.9826086956521739,0.98989898989899,0.0008003169572107766,0.0004001584786053883,0.0008003169572107766,0.0006006339144215532,3.0164432916790247,True,0.9983115196228027,0.9991216512955643,auroc,0,2.7113255318254232,0.26647244207561016
2,0.10628103914228038,0.997364953886693,0.9976427763001977,0.9871244635193133,0.985981308411215,1.0,0.9696969696969697,0.0009997255564791268,0.0008003169572107766,0.0009997255564791268,0.0009503296933533763,3.197069989517331,False,0.975231409072876,0.9991216512955643,auroc,1,2.9314098618924618,0.26565654017031193
3,0.06768348894501566,0.9999121651295565,0.9999250374812592,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0009975383097999575,0.0009997255564791268,0.0009975383097999575,0.000998811604260913,3.962913576513529,True,0.30577579140663147,0.9999121651295565,auroc,0,2.782128704711795,0.26809261180460453
4,0.06027283341610011,0.9992094861660079,0.9993426079478744,0.987012987012987,0.985981308411215,0.991304347826087,0.9797979797979798,0.0009931755453461532,0.0009975383097999575,0.0009931755453461532,0.0009955332504161774,2.847994649782777,False,0.686867892742157,0.9999121651295565,auroc,1,2.5723164547234774,0.275674058124423
5,0.048369068068931674,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009866563395816343,0.0009931755453461532,0.0009866563395816343,0.000990088146045967,2.7848479505628347,True,0.8077226281166077,1.0,auroc,0,2.4863331858068705,0.2565697282552719
6,0.04165629962779637,0.9998243302591129,0.9998494231145295,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0009780091981465453,0.0009866563395816343,0.0009780091981465453,0.000982500100214044,2.696740770712495,False,0.4105519652366638,1.0,auroc,1,2.427536802366376,0.26919945143163204
7,0.04278943831790331,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009672719312145377,0.0009780091981465453,0.0009672719312145377,0.0009728022921314494,2.8960785288363695,False,0.768905520439148,1.0,auroc,2,2.6276246197521687,0.2684493623673916
8,0.03571535112407741,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0009544914881653907,0.0009672719312145377,0.0009544914881653907,0.0009610371260783027,2.8991881776601076,False,0.9974809288978577,1.0,auroc,3,2.633290871977806,0.26589304953813553
9,0.03568975768953396,1.0,1.0,1.0,1.0,1.0,1.0,0.0009397237522958746,0.0009544914881653907,0.0009397237522958746,0.0009472560459883997,3.014718307182193,False,0.9466374516487122,1.0,auroc,4,2.735298765823245,0.2794164251536131
10,0.029051155026190646,1.0,1.0,1.0,1.0,1.0,1.0,0.0009230332964664959,0.0009397237522958746,0.0009230332964664959,0.000931519310507353,2.940237896516919,False,0.8742236495018005,1.0,auroc,5,2.6795578878372908,0.26067597232759
11,0.029311390726200055,1.0,1.0,1.0,1.0,1.0,1.0,0.0009044931007525736,0.0009230332964664959,0.0009044931007525736,0.0009138957295078491,2.9950657226145267,False,0.9935024380683899,1.0,auroc,6,2.7108010798692703,0.28425838984549046
12,0.02561380280801879,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.0008841842333342392,0.0009044931007525736,0.0008841842333342392,0.0008944623632141198,3.1191805358976126,False,0.9602605104446411,1.0,auroc,7,2.8475060649216175,0.271669864654541
13,0.030363983454083043,1.0,0.9999999999999997,1.0,1.0,1.0,1.0,0.0008621954960206817,0.0008841842333342392,0.0008621954960206817,0.0008733041852512311,2.821718219667673,False,0.9971569776535034,1.0,auroc,8,2.6332750115543604,0.18844051472842693
14,0.02279695157309773,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,0.0008386230359586137,0.0008621954960206817,0.0008386230359586137,0.0008505137110925257,2.280239848420024,False,0.9941061735153198,1.0,auroc,9,2.0643617771565914,0.2158749271184206
15,0.023454613745901826,0.9998243302591129,0.9998494231145296,0.9956709956709957,0.9953271028037384,1.0,0.98989898989899,0.0008135699252227817,0.0008386230359586137,0.0008135699252227817,0.0008261905935298549,2.656565722078085,False,0.8000006675720215,1.0,auroc,10,2.448092157021165,0.2084712404757738
