model,auroc,f1,sensitivity,specificity,num_trainable_params,mean_record_latency_ms,windows_per_second_batch16,zero_shot_mean_f1,zero_shot_min_f1,zero_shot_mean_specificity,noisy_train_mean_f1,noisy_train_min_f1
ECGMamba-BiLSTM d128 h64 n2,0.9964061294234372,0.9849462365591398,0.9744680851063828,0.9948186528497408,251265,66.38935089111328,223.71948715123105,0.9304065648525304,0.7843137254901961,0.8553540587219343,0.9715164755821646,0.9523809523809524
ECGMamba-BiMamba d128 n2 s64,0.988799470841142,0.9744680851063828,0.9744680851063828,0.9689119170984456,682881,1215.2437744140625,6.153539953747036,0.8537351237003512,0.7088989441930619,0.5492227979274611,0.9618939781839774,0.9193899782135077
ECGMamba-BiSSM,0.9939367214199096,0.9720430107526882,0.9617021276595744,0.9792746113989638,510209,600.0957641601562,13.564870710967895,0.9102397282152052,0.7304075235109718,0.7780656303972368,0.968519274806926,0.9401709401709402
CNN1D c256 n3 k7,0.994289493991842,0.9698275862068966,0.9574468085106383,0.9792746113989638,288769,6.8798604011535645,852.2131322102963,0.8757506264113917,0.7145038167938931,0.6455094991364422,0.9616458432035926,0.8903508771929824
Mamba d128 n4 s64,0.9927020174181458,0.9582417582417584,0.9276595744680852,0.9896373056994818,649473,1480.7894287109375,1.1584998158990594,0.8653705793489178,0.7085427135678392,0.7487046632124352,0.9639087568996872,0.9066666666666666
BiLSTM h128 n2 bi,0.7098445595854923,0.7491408934707904,0.9276595744680852,0.3316062176165803,529665,278.6020812988281,34.82444241386354,0.7128465458657317,0.708018154311649,0.0444732297063903,0.7397683001367954,0.654300168634064
