model,auroc,auprc,f1,accuracy,sensitivity,specificity,tn,fp,fn,tp,threshold,best_epoch
ECGMamba-BiLSTM d128 h64 n2,0.9964061294234372,0.9976980932944808,0.9849462365591398,0.983644859813084,0.9744680851063828,0.9948186528497408,192,1,6,229,0.4363300800323486,4
CNN1D c256 n3 k7,0.994289493991842,0.9956402756537304,0.9698275862068966,0.9672897196261684,0.9574468085106383,0.9792746113989638,189,4,10,225,0.3342137932777405,12
ECGMamba-BiSSM,0.9939367214199096,0.9950072870061069,0.9720430107526882,0.969626168224299,0.9617021276595744,0.9792746113989638,189,4,9,226,0.9210027456283568,5
Mamba d128 n4 s64,0.9927020174181458,0.994688405381279,0.9582417582417584,0.955607476635514,0.9276595744680852,0.9896373056994818,191,2,17,218,0.988631784915924,36
ECGMamba-BiMamba d128 n2 s64,0.988799470841142,0.9931278341543288,0.9744680851063828,0.97196261682243,0.9744680851063828,0.9689119170984456,187,6,6,229,0.4849696755409241,1
BiLSTM h128 n2 bi,0.7098445595854923,0.7156051194080619,0.7491408934707904,0.6588785046728972,0.9276595744680852,0.3316062176165803,64,129,17,218,0.3544137477874756,2
