window_s,best_auroc,best_auroc_model,best_auroc_f1,best_f1,best_f1_model,mean_auroc_across_models,mean_f1_across_models
8,0.9964061294234372,ECGMamba-BiLSTM d128 h64 n2,0.9849462365591398,0.9849462365591398,ECGMamba-BiLSTM d128 h64 n2,0.9459963987799948,0.9347779283896096
6,0.9963399845662,ECGMamba-BiLSTM d128 h64 n2,0.9763440860215054,0.9763440860215054,ECGMamba-BiLSTM d128 h64 n2,0.963526623305038,0.9389809939630848
10,0.9942674457060964,ECGMamba-BiSSM,0.9743589743589745,0.9808917197452228,ECGMamba-BiLSTM d128 h64 n2,0.9534413699334876,0.9305911077628244
