update,lr
242,3.0440251572327046e-06
243,3.0566037735849056e-06
244,3.069182389937107e-06
245,3.0817610062893084e-06
246,3.0943396226415094e-06
247,3.106918238993711e-06
248,3.1194968553459122e-06
249,3.1320754716981132e-06
250,3.1446540880503146e-06
251,3.1572327044025156e-06
252,3.169811320754717e-06
253,3.1823899371069185e-06
254,3.1949685534591195e-06
255,3.207547169811321e-06
256,3.2201257861635223e-06
257,3.2327044025157233e-06
258,3.2452830188679247e-06
259,3.2578616352201257e-06
260,3.270440251572327e-06
261,3.2830188679245285e-06
262,3.2955974842767295e-06
263,3.308176100628931e-06
264,3.3207547169811323e-06
265,3.3333333333333333e-06
266,3.3459119496855347e-06
267,3.3584905660377357e-06
268,3.371069182389937e-06
269,3.3836477987421386e-06
270,3.3962264150943395e-06
271,3.408805031446541e-06
272,3.4213836477987424e-06
273,3.4339622641509434e-06
274,3.4465408805031448e-06
275,3.4591194968553458e-06
276,3.471698113207547e-06
277,3.4842767295597486e-06
278,3.4968553459119496e-06
279,3.509433962264151e-06
280,3.5220125786163524e-06
281,3.5345911949685534e-06
282,3.547169811320755e-06
283,3.559748427672956e-06
284,3.5723270440251572e-06
285,3.5849056603773586e-06
286,3.5974842767295596e-06
287,3.610062893081761e-06
288,3.6226415094339625e-06
289,3.6352201257861635e-06
290,3.647798742138365e-06
291,3.6603773584905663e-06
292,3.6729559748427673e-06
293,3.6855345911949687e-06
294,3.6981132075471697e-06
295,3.710691823899371e-06
296,3.7232704402515725e-06
297,3.7358490566037735e-06
298,3.748427672955975e-06
299,3.7610062893081768e-06
300,3.7735849056603777e-06
301,3.786163522012579e-06
302,3.7987421383647806e-06
303,3.8113207547169816e-06
304,3.8238993710691826e-06
305,3.836477987421384e-06
306,3.849056603773585e-06
307,3.861635220125787e-06
308,3.874213836477988e-06
309,3.88679245283019e-06
310,3.89937106918239e-06
311,3.911949685534592e-06
312,3.924528301886793e-06
313,3.9371069182389944e-06
314,3.949685534591196e-06
315,3.962264150943396e-06
316,3.974842767295598e-06
317,3.987421383647799e-06
318,4.000000000000001e-06
319,4.012578616352202e-06
320,4.025157232704403e-06
321,4.037735849056604e-06
322,4.0503144654088055e-06
323,4.062893081761007e-06
324,4.075471698113208e-06
325,4.08805031446541e-06
326,4.10062893081761e-06
327,4.113207547169812e-06
328,4.125786163522013e-06
329,4.1383647798742145e-06
330,4.150943396226416e-06
331,4.1635220125786165e-06
332,4.176100628930818e-06
333,4.188679245283019e-06
334,4.201257861635221e-06
335,4.213836477987422e-06
336,4.226415094339623e-06
337,4.238993710691824e-06
338,4.2515723270440256e-06
339,4.264150943396227e-06
340,4.276729559748428e-06
341,4.28930817610063e-06
342,4.30188679245283e-06
343,4.314465408805032e-06
344,4.327044025157233e-06
345,4.339622641509435e-06
346,4.352201257861636e-06
347,4.364779874213837e-06
348,4.377358490566038e-06
349,4.3899371069182394e-06
350,4.402515723270441e-06
351,4.415094339622642e-06
352,4.427672955974844e-06
353,4.440251572327044e-06
354,4.452830188679246e-06
355,4.465408805031447e-06
356,4.4779874213836485e-06
357,4.49056603773585e-06
358,4.5031446540880505e-06
359,4.515723270440252e-06
360,4.528301886792453e-06
361,4.540880503144655e-06
362,4.553459119496856e-06
363,4.566037735849057e-06
364,4.578616352201258e-06
365,4.5911949685534595e-06
366,4.603773584905661e-06
367,4.616352201257862e-06
368,4.628930817610064e-06
369,4.641509433962264e-06
370,4.654088050314466e-06
371,4.666666666666667e-06
372,4.6792452830188686e-06
373,4.69182389937107e-06
374,4.7044025157232706e-06
375,4.716981132075472e-06
376,4.729559748427673e-06
377,4.742138364779875e-06
378,4.754716981132076e-06
379,4.767295597484277e-06
380,4.779874213836478e-06
381,4.79245283018868e-06
382,4.805031446540881e-06
383,4.8176100628930824e-06
384,4.830188679245284e-06
385,4.842767295597484e-06
386,4.855345911949686e-06
387,4.867924528301887e-06
388,4.880503144654089e-06
389,4.89308176100629e-06
390,4.905660377358491e-06
391,4.918238993710692e-06
392,4.9308176100628935e-06
393,4.943396226415095e-06
394,4.955974842767296e-06
395,4.968553459119497e-06
396,4.981132075471698e-06
397,4.9937106918239e-06
398,5.006289308176101e-06
399,5.0188679245283025e-06
400,5.031446540880504e-06
401,5.0440251572327045e-06
402,5.056603773584906e-06
403,5.069182389937107e-06
404,5.081761006289309e-06
405,5.09433962264151e-06
406,5.106918238993711e-06
407,5.119496855345912e-06
408,5.1320754716981136e-06
409,5.144654088050315e-06
410,5.157232704402516e-06
411,5.169811320754717e-06
412,5.182389937106918e-06
413,5.19496855345912e-06
414,5.207547169811321e-06
415,5.220125786163523e-06
416,5.232704402515724e-06
417,5.245283018867925e-06
418,5.257861635220126e-06
419,5.2704402515723274e-06
420,5.283018867924529e-06
421,5.29559748427673e-06
422,5.308176100628931e-06
423,5.320754716981132e-06
424,5.333333333333334e-06
425,5.345911949685535e-06
426,5.3584905660377365e-06
427,5.371069182389937e-06
428,5.3836477987421385e-06
429,5.39622641509434e-06
430,5.408805031446541e-06
431,5.421383647798743e-06
432,5.433962264150944e-06
433,5.446540880503145e-06
434,5.459119496855346e-06
435,5.4716981132075475e-06
436,5.484276729559749e-06
437,5.49685534591195e-06
438,5.509433962264151e-06
439,5.522012578616352e-06
440,5.534591194968554e-06
441,5.547169811320755e-06
442,5.5597484276729566e-06
443,5.572327044025157e-06
444,5.5849056603773586e-06
445,5.59748427672956e-06
446,5.610062893081761e-06
447,5.622641509433963e-06
448,5.635220125786164e-06
449,5.647798742138365e-06
450,5.660377358490566e-06
451,5.672955974842768e-06
452,5.685534591194969e-06
453,5.6981132075471704e-06
454,5.710691823899371e-06
455,5.723270440251572e-06
456,5.735849056603774e-06
457,5.748427672955975e-06
458,5.761006289308177e-06
459,5.773584905660378e-06
460,5.786163522012579e-06
461,5.79874213836478e-06
462,5.8113207547169815e-06
463,5.823899371069183e-06
464,5.836477987421384e-06
465,5.849056603773585e-06
466,5.861635220125786e-06
467,5.874213836477988e-06
468,5.886792452830189e-06
469,5.8993710691823905e-06
470,5.911949685534591e-06
471,5.9245283018867925e-06
472,5.937106918238994e-06
473,5.949685534591195e-06
474,5.962264150943397e-06
475,5.974842767295598e-06
476,5.987421383647799e-06
477,6e-06
478,6.0125786163522016e-06
479,6.025157232704403e-06
480,6.037735849056604e-06
481,6.050314465408805e-06
482,6.062893081761006e-06
483,6.075471698113208e-06
484,6.088050314465409e-06
485,6.100628930817611e-06
486,6.113207547169811e-06
487,6.125786163522013e-06
488,6.138364779874214e-06
489,6.1509433962264154e-06
490,6.163522012578617e-06
491,6.176100628930818e-06
492,6.188679245283019e-06
493,6.20125786163522e-06
494,6.213836477987422e-06
495,6.226415094339623e-06
496,6.2389937106918245e-06
497,6.251572327044025e-06
498,6.2641509433962265e-06
499,6.276729559748428e-06
500,6.289308176100629e-06
501,6.301886792452831e-06
502,6.314465408805031e-06
503,6.327044025157233e-06
504,6.339622641509434e-06
505,6.3522012578616355e-06
506,6.364779874213837e-06
507,6.377358490566038e-06
508,6.389937106918239e-06
509,6.40251572327044e-06
510,6.415094339622642e-06
511,6.427672955974843e-06
512,6.4402515723270446e-06
513,6.452830188679245e-06
514,6.4654088050314466e-06
515,6.477987421383648e-06
516,6.490566037735849e-06
517,6.503144654088051e-06
518,6.515723270440251e-06
519,6.528301886792453e-06
520,6.540880503144654e-06
521,6.553459119496856e-06
522,6.566037735849057e-06
523,6.5786163522012584e-06
524,6.591194968553459e-06
525,6.60377358490566e-06
526,6.616352201257862e-06
527,6.628930817610063e-06
528,6.641509433962265e-06
529,6.654088050314465e-06
530,6.666666666666667e-06
531,6.679245283018868e-06
532,6.6918238993710695e-06
533,6.704402515723271e-06
534,6.7169811320754715e-06
535,6.729559748427673e-06
536,6.742138364779874e-06
537,6.754716981132076e-06
538,6.767295597484277e-06
539,6.7798742138364785e-06
540,6.792452830188679e-06
541,6.8050314465408805e-06
542,6.817610062893082e-06
543,6.830188679245283e-06
544,6.842767295597485e-06
545,6.855345911949685e-06
546,6.867924528301887e-06
547,6.880503144654088e-06
548,6.8930817610062896e-06
549,6.905660377358491e-06
550,6.9182389937106915e-06
551,6.930817610062893e-06
552,6.943396226415094e-06
553,6.955974842767296e-06
554,6.968553459119497e-06
555,6.981132075471699e-06
556,6.993710691823899e-06
557,7.006289308176101e-06
558,7.018867924528302e-06
559,7.0314465408805034e-06
560,7.044025157232705e-06
561,7.056603773584905e-06
562,7.069182389937107e-06
563,7.081761006289308e-06
564,7.09433962264151e-06
565,7.106918238993711e-06
566,7.119496855345912e-06
567,7.132075471698113e-06
568,7.1446540880503145e-06
569,7.157232704402516e-06
570,7.169811320754717e-06
571,7.182389937106919e-06
572,7.194968553459119e-06
573,7.207547169811321e-06
574,7.220125786163522e-06
575,7.2327044025157235e-06
576,7.245283018867925e-06
577,7.2578616352201255e-06
578,7.270440251572327e-06
579,7.283018867924528e-06
580,7.29559748427673e-06
581,7.308176100628931e-06
582,7.3207547169811326e-06
583,7.333333333333333e-06
584,7.3459119496855346e-06
585,7.358490566037736e-06
586,7.371069182389937e-06
587,7.383647798742139e-06
588,7.396226415094339e-06
589,7.408805031446541e-06
590,7.421383647798742e-06
591,7.433962264150944e-06
592,7.446540880503145e-06
593,7.459119496855346e-06
594,7.471698113207547e-06
595,7.484276729559748e-06
596,7.49685534591195e-06
597,7.509433962264152e-06
598,7.5220125786163535e-06
599,7.534591194968555e-06
600,7.5471698113207555e-06
601,7.559748427672957e-06
602,7.572327044025158e-06
603,7.58490566037736e-06
604,7.597484276729561e-06
605,7.6100628930817626e-06
606,7.622641509433963e-06
607,7.635220125786165e-06
608,7.647798742138365e-06
609,7.660377358490567e-06
610,7.672955974842768e-06
611,7.68553459119497e-06
612,7.69811320754717e-06
613,7.710691823899372e-06
614,7.723270440251574e-06
615,7.735849056603775e-06
616,7.748427672955976e-06
617,7.761006289308178e-06
618,7.77358490566038e-06
619,7.786163522012579e-06
620,7.79874213836478e-06
621,7.811320754716982e-06
622,7.823899371069183e-06
623,7.836477987421385e-06
624,7.849056603773586e-06
625,7.861635220125787e-06
626,7.874213836477989e-06
627,7.88679245283019e-06
628,7.899371069182392e-06
629,7.911949685534593e-06
630,7.924528301886793e-06
631,7.937106918238994e-06
632,7.949685534591196e-06
633,7.962264150943397e-06
634,7.974842767295599e-06
635,7.9874213836478e-06
636,8.000000000000001e-06
637,8.012578616352203e-06
638,8.025157232704404e-06
639,8.037735849056606e-06
