update,lr
196,1.9029126213592232e-06
197,1.912621359223301e-06
198,1.9223300970873787e-06
199,1.9320388349514564e-06
200,1.941747572815534e-06
201,1.951456310679612e-06
202,1.9611650485436895e-06
203,1.970873786407767e-06
204,1.980582524271845e-06
205,1.9902912621359226e-06
206,2.0000000000000003e-06
207,2.009708737864078e-06
208,2.0194174757281553e-06
209,2.029126213592233e-06
210,2.0388349514563107e-06
211,2.0485436893203885e-06
212,2.058252427184466e-06
213,2.067961165048544e-06
214,2.0776699029126216e-06
215,2.0873786407766993e-06
216,2.097087378640777e-06
217,2.1067961165048547e-06
218,2.1165048543689324e-06
219,2.1262135922330097e-06
220,2.1359223300970874e-06
221,2.145631067961165e-06
222,2.155339805825243e-06
223,2.1650485436893205e-06
224,2.1747572815533982e-06
225,2.184466019417476e-06
226,2.1941747572815537e-06
227,2.2038834951456314e-06
228,2.213592233009709e-06
229,2.2233009708737864e-06
230,2.2330097087378645e-06
231,2.2427184466019418e-06
232,2.2524271844660195e-06
233,2.262135922330097e-06
234,2.271844660194175e-06
235,2.2815533980582526e-06
236,2.2912621359223303e-06
237,2.300970873786408e-06
238,2.3106796116504857e-06
239,2.320388349514563e-06
240,2.330097087378641e-06
241,2.3398058252427184e-06
242,2.3495145631067966e-06
243,2.359223300970874e-06
244,2.3689320388349516e-06
245,2.3786407766990293e-06
246,2.388349514563107e-06
247,2.3980582524271847e-06
248,2.4077669902912624e-06
249,2.4174757281553397e-06
250,2.427184466019418e-06
251,2.436893203883495e-06
252,2.4466019417475732e-06
253,2.4563106796116505e-06
254,2.4660194174757286e-06
255,2.475728155339806e-06
256,2.4854368932038836e-06
257,2.4951456310679614e-06
258,2.504854368932039e-06
259,2.5145631067961168e-06
260,2.5242718446601945e-06
261,2.5339805825242718e-06
262,2.5436893203883495e-06
263,2.5533980582524276e-06
264,2.5631067961165053e-06
265,2.5728155339805826e-06
266,2.5825242718446603e-06
267,2.592233009708738e-06
268,2.6019417475728157e-06
269,2.6116504854368934e-06
270,2.621359223300971e-06
271,2.6310679611650484e-06
272,2.6407766990291266e-06
273,2.6504854368932043e-06
274,2.660194174757282e-06
275,2.6699029126213593e-06
276,2.679611650485437e-06
277,2.689320388349515e-06
278,2.6990291262135924e-06
279,2.70873786407767e-06
280,2.718446601941748e-06
281,2.728155339805825e-06
282,2.7378640776699032e-06
283,2.747572815533981e-06
284,2.7572815533980586e-06
285,2.766990291262136e-06
286,2.7766990291262136e-06
287,2.7864077669902918e-06
288,2.796116504854369e-06
289,2.8058252427184468e-06
290,2.8155339805825245e-06
291,2.8252427184466017e-06
292,2.83495145631068e-06
293,2.8446601941747576e-06
294,2.8543689320388353e-06
295,2.8640776699029126e-06
296,2.8737864077669903e-06
297,2.8834951456310684e-06
298,2.8932038834951457e-06
299,2.9029126213592234e-06
300,2.912621359223301e-06
301,2.9223300970873793e-06
302,2.9320388349514565e-06
303,2.9417475728155342e-06
304,2.951456310679612e-06
305,2.9611650485436892e-06
306,2.9708737864077674e-06
307,2.980582524271845e-06
308,2.9902912621359224e-06
309,3e-06
310,3.0097087378640778e-06
311,3.019417475728156e-06
