update,lr
1,6.680026720106882e-09
2,1.3360053440213763e-08
3,2.004008016032064e-08
4,2.6720106880427527e-08
5,3.340013360053441e-08
6,4.008016032064128e-08
7,4.676018704074817e-08
8,5.3440213760855053e-08
9,6.012024048096193e-08
10,6.680026720106882e-08
11,7.348029392117568e-08
12,8.016032064128256e-08
13,8.684034736138946e-08
14,9.352037408149634e-08
15,1.0020040080160321e-07
16,1.0688042752171011e-07
17,1.1356045424181699e-07
18,1.2024048096192385e-07
19,1.2692050768203073e-07
20,1.3360053440213764e-07
21,1.402805611222445e-07
22,1.4696058784235137e-07
23,1.5364061456245825e-07
24,1.6032064128256513e-07
25,1.6700066800267203e-07
26,1.736806947227789e-07
27,1.803607214428858e-07
28,1.8704074816299267e-07
29,1.9372077488309955e-07
30,2.0040080160320643e-07
31,2.070808283233133e-07
32,2.1376085504342021e-07
33,2.204408817635271e-07
34,2.2712090848363397e-07
35,2.3380093520374082e-07
36,2.404809619238477e-07
37,2.471609886439546e-07
38,2.5384101536406146e-07
39,2.605210420841683e-07
40,2.6720106880427527e-07
41,2.738810955243821e-07
42,2.80561122244489e-07
43,2.872411489645959e-07
44,2.9392117568470274e-07
45,3.0060120240480964e-07
46,3.072812291249165e-07
47,3.139612558450234e-07
48,3.2064128256513025e-07
49,3.2732130928523716e-07
50,3.3400133600534407e-07
51,3.406813627254509e-07
52,3.473613894455578e-07
53,3.540414161656647e-07
54,3.607214428857716e-07
55,3.6740146960587843e-07
56,3.7408149632598534e-07
57,3.8076152304609225e-07
58,3.874415497661991e-07
59,3.94121576486306e-07
60,4.0080160320641286e-07
61,4.0748162992651976e-07
62,4.141616566466266e-07
63,4.208416833667335e-07
64,4.2752171008684043e-07
65,4.342017368069473e-07
66,4.408817635270542e-07
67,4.47561790247161e-07
68,4.5424181696726794e-07
69,4.6092184368737474e-07
70,4.6760187040748165e-07
71,4.742818971275886e-07
72,4.809619238476954e-07
73,4.876419505678023e-07
74,4.943219772879092e-07
75,5.010020040080161e-07
76,5.076820307281229e-07
77,5.143620574482298e-07
78,5.210420841683366e-07
79,5.277221108884436e-07
80,5.344021376085505e-07
81,5.410821643286573e-07
82,5.477621910487643e-07
83,5.54442217768871e-07
84,5.61122244488978e-07
85,5.678022712090849e-07
86,5.744822979291918e-07
87,5.811623246492987e-07
88,5.878423513694055e-07
89,5.945223780895124e-07
90,6.012024048096193e-07
91,6.078824315297262e-07
92,6.14562458249833e-07
93,6.212424849699399e-07
94,6.279225116900468e-07
95,6.346025384101537e-07
96,6.412825651302605e-07
97,6.479625918503675e-07
98,6.546426185704743e-07
99,6.613226452905812e-07
