update,lr
1,7.92393026941363e-09
2,1.584786053882726e-08
3,2.377179080824089e-08
4,3.169572107765452e-08
5,3.961965134706815e-08
6,4.754358161648178e-08
7,5.546751188589541e-08
8,6.339144215530904e-08
9,7.131537242472267e-08
10,7.92393026941363e-08
11,8.716323296354993e-08
12,9.508716323296357e-08
13,1.0301109350237719e-07
14,1.1093502377179082e-07
15,1.1885895404120446e-07
16,1.2678288431061808e-07
17,1.347068145800317e-07
18,1.4263074484944535e-07
19,1.5055467511885897e-07
20,1.584786053882726e-07
21,1.6640253565768621e-07
22,1.7432646592709986e-07
23,1.8225039619651348e-07
24,1.9017432646592713e-07
25,1.9809825673534073e-07
26,2.0602218700475438e-07
27,2.13946117274168e-07
28,2.2187004754358165e-07
29,2.2979397781299527e-07
30,2.3771790808240892e-07
31,2.456418383518225e-07
32,2.5356576862123616e-07
33,2.6148969889064975e-07
34,2.694136291600634e-07
35,2.7733755942947705e-07
36,2.852614896988907e-07
37,2.931854199683043e-07
38,3.0110935023771794e-07
39,3.0903328050713154e-07
40,3.169572107765452e-07
41,3.2488114104595883e-07
42,3.3280507131537243e-07
43,3.4072900158478613e-07
44,3.486529318541997e-07
45,3.565768621236133e-07
46,3.6450079239302697e-07
47,3.724247226624406e-07
48,3.8034865293185427e-07
49,3.8827258320126786e-07
50,3.9619651347068146e-07
51,4.0412044374009516e-07
52,4.1204437400950875e-07
53,4.199683042789224e-07
54,4.27892234548336e-07
55,4.358161648177497e-07
56,4.437400950871633e-07
57,4.516640253565769e-07
58,4.5958795562599054e-07
59,4.6751188589540413e-07
60,4.7543581616481783e-07
61,4.833597464342314e-07
62,4.91283676703645e-07
63,4.992076069730586e-07
64,5.071315372424723e-07
65,5.150554675118859e-07
66,5.229793977812995e-07
67,5.309033280507132e-07
68,5.388272583201268e-07
69,5.467511885895405e-07
70,5.546751188589541e-07
71,5.625990491283677e-07
72,5.705229793977814e-07
73,5.78446909667195e-07
74,5.863708399366086e-07
75,5.942947702060222e-07
76,6.022187004754359e-07
77,6.101426307448495e-07
78,6.180665610142631e-07
79,6.259904912836768e-07
80,6.339144215530904e-07
81,6.41838351822504e-07
82,6.497622820919177e-07
83,6.576862123613313e-07
84,6.656101426307449e-07
85,6.735340729001586e-07
86,6.814580031695723e-07
87,6.893819334389858e-07
88,6.973058637083995e-07
89,7.052297939778129e-07
90,7.131537242472266e-07
91,7.210776545166403e-07
92,7.290015847860539e-07
93,7.369255150554675e-07
94,7.448494453248812e-07
95,7.527733755942948e-07
96,7.606973058637085e-07
97,7.68621236133122e-07
98,7.765451664025357e-07
99,7.844690966719494e-07
100,7.923930269413629e-07
101,8.003169572107766e-07
102,8.082408874801903e-07
103,8.161648177496038e-07
104,8.240887480190175e-07
105,8.320126782884311e-07
106,8.399366085578448e-07
107,8.478605388272584e-07
108,8.55784469096672e-07
109,8.637083993660857e-07
110,8.716323296354994e-07
111,8.795562599049129e-07
112,8.874801901743266e-07
113,8.954041204437401e-07
114,9.033280507131538e-07
115,9.112519809825675e-07
116,9.191759112519811e-07
117,9.270998415213947e-07
118,9.350237717908083e-07
119,9.42947702060222e-07
120,9.508716323296357e-07
121,9.587955625990493e-07
122,9.667194928684629e-07
123,9.746434231378764e-07
124,9.8256735340729e-07
125,9.904912836767039e-07
126,9.984152139461172e-07
127,1.006339144215531e-06
128,1.0142630744849446e-06
129,1.0221870047543582e-06
130,1.0301109350237718e-06
131,1.0380348652931856e-06
132,1.045958795562599e-06
133,1.0538827258320128e-06
134,1.0618066561014264e-06
135,1.06973058637084e-06
136,1.0776545166402536e-06
137,1.0855784469096672e-06
138,1.093502377179081e-06
139,1.1014263074484946e-06
140,1.1093502377179082e-06
141,1.1172741679873218e-06
142,1.1251980982567354e-06
143,1.133122028526149e-06
144,1.1410459587955628e-06
145,1.1489698890649762e-06
146,1.15689381933439e-06
147,1.1648177496038036e-06
148,1.1727416798732172e-06
149,1.1806656101426308e-06
150,1.1885895404120444e-06
151,1.1965134706814582e-06
152,1.2044374009508718e-06
153,1.2123613312202854e-06
154,1.220285261489699e-06
155,1.2282091917591128e-06
156,1.2361331220285262e-06
157,1.24405705229794e-06
158,1.2519809825673536e-06
159,1.2599049128367671e-06
160,1.2678288431061807e-06
161,1.2757527733755946e-06
162,1.283676703645008e-06
163,1.2916006339144215e-06
164,1.2995245641838353e-06
165,1.307448494453249e-06
166,1.3153724247226625e-06
167,1.3232963549920763e-06
168,1.3312202852614897e-06
169,1.3391442155309033e-06
170,1.3470681458003171e-06
171,1.3549920760697307e-06
172,1.3629160063391445e-06
173,1.370839936608558e-06
174,1.3787638668779715e-06
175,1.3866877971473853e-06
176,1.394611727416799e-06
177,1.4025356576862125e-06
178,1.4104595879556259e-06
179,1.4183835182250397e-06
180,1.4263074484944533e-06
181,1.434231378763867e-06
182,1.4421553090332807e-06
183,1.450079239302694e-06
184,1.4580031695721079e-06
185,1.4659270998415215e-06
186,1.473851030110935e-06
187,1.4817749603803489e-06
188,1.4896988906497625e-06
189,1.4976228209191759e-06
190,1.5055467511885897e-06
191,1.5134706814580033e-06
192,1.521394611727417e-06
193,1.5293185419968307e-06
194,1.537242472266244e-06
195,1.5451664025356578e-06
196,1.5530903328050714e-06
197,1.561014263074485e-06
198,1.5689381933438988e-06
199,1.5768621236133122e-06
200,1.5847860538827258e-06
201,1.5927099841521396e-06
202,1.6006339144215532e-06
203,1.608557844690967e-06
204,1.6164817749603806e-06
205,1.624405705229794e-06
206,1.6323296354992076e-06
207,1.6402535657686214e-06
208,1.648177496038035e-06
209,1.6561014263074488e-06
210,1.6640253565768622e-06
211,1.6719492868462758e-06
212,1.6798732171156896e-06
213,1.6877971473851032e-06
214,1.6957210776545168e-06
215,1.7036450079239304e-06
216,1.711568938193344e-06
217,1.7194928684627576e-06
218,1.7274167987321714e-06
219,1.735340729001585e-06
220,1.7432646592709988e-06
221,1.7511885895404122e-06
222,1.7591125198098258e-06
223,1.7670364500792394e-06
224,1.7749603803486532e-06
225,1.7828843106180668e-06
226,1.7908082408874801e-06
227,1.798732171156894e-06
228,1.8066561014263076e-06
229,1.8145800316957214e-06
230,1.822503961965135e-06
231,1.8304278922345483e-06
232,1.8383518225039621e-06
233,1.8462757527733757e-06
234,1.8541996830427893e-06
235,1.8621236133122031e-06
236,1.8700475435816165e-06
237,1.8779714738510301e-06
238,1.885895404120444e-06
239,1.8938193343898575e-06
240,1.9017432646592713e-06
241,1.9096671949286847e-06
242,1.9175911251980985e-06
243,1.925515055467512e-06
244,1.9334389857369257e-06
245,1.9413629160063395e-06
246,1.949286846275753e-06
247,1.9572107765451663e-06
248,1.96513470681458e-06
249,1.973058637083994e-06
250,1.9809825673534077e-06
251,1.988906497622821e-06
252,1.9968304278922345e-06
253,2.0047543581616483e-06
254,2.012678288431062e-06
255,2.0206022187004755e-06
256,2.0285261489698893e-06
257,2.036450079239303e-06
258,2.0443740095087165e-06
259,2.0522979397781303e-06
260,2.0602218700475437e-06
261,2.0681458003169575e-06
262,2.0760697305863713e-06
263,2.0839936608557847e-06
264,2.091917591125198e-06
265,2.099841521394612e-06
266,2.1077654516640257e-06
267,2.1156893819334395e-06
268,2.123613312202853e-06
269,2.1315372424722662e-06
270,2.13946117274168e-06
271,2.147385103011094e-06
272,2.1553090332805072e-06
273,2.163232963549921e-06
274,2.1711568938193344e-06
275,2.1790808240887482e-06
276,2.187004754358162e-06
277,2.1949286846275754e-06
278,2.2028526148969892e-06
279,2.2107765451664026e-06
280,2.2187004754358164e-06
281,2.22662440570523e-06
282,2.2345483359746436e-06
283,2.2424722662440574e-06
284,2.250396196513471e-06
285,2.2583201267828846e-06
286,2.266244057052298e-06
287,2.2741679873217118e-06
288,2.2820919175911256e-06
289,2.290015847860539e-06
290,2.2979397781299524e-06
291,2.305863708399366e-06
292,2.31378763866878e-06
293,2.3217115689381938e-06
294,2.329635499207607e-06
295,2.3375594294770205e-06
296,2.3454833597464344e-06
297,2.353407290015848e-06
298,2.3613312202852615e-06
299,2.3692551505546754e-06
300,2.3771790808240887e-06
301,2.3851030110935025e-06
302,2.3930269413629164e-06
303,2.4009508716323297e-06
304,2.4088748019017435e-06
305,2.416798732171157e-06
306,2.4247226624405707e-06
307,2.432646592709984e-06
308,2.440570522979398e-06
309,2.4484944532488117e-06
310,2.4564183835182255e-06
311,2.464342313787639e-06
312,2.4722662440570523e-06
313,2.480190174326466e-06
314,2.48811410459588e-06
315,2.4960380348652933e-06
316,2.503961965134707e-06
317,2.511885895404121e-06
318,2.5198098256735343e-06
319,2.5277337559429477e-06
320,2.5356576862123615e-06
321,2.543581616481775e-06
322,2.551505546751189e-06
323,2.5594294770206025e-06
324,2.567353407290016e-06
325,2.5752773375594297e-06
326,2.583201267828843e-06
327,2.5911251980982573e-06
328,2.5990491283676707e-06
329,2.606973058637084e-06
330,2.614896988906498e-06
331,2.6228209191759112e-06
332,2.630744849445325e-06
333,2.638668779714739e-06
334,2.6465927099841527e-06
335,2.654516640253566e-06
336,2.6624405705229794e-06
337,2.6703645007923932e-06
338,2.6782884310618066e-06
339,2.686212361331221e-06
340,2.6941362916006342e-06
341,2.7020602218700476e-06
342,2.7099841521394614e-06
343,2.717908082408875e-06
344,2.725832012678289e-06
345,2.7337559429477024e-06
346,2.741679873217116e-06
347,2.7496038034865296e-06
348,2.757527733755943e-06
349,2.7654516640253572e-06
350,2.7733755942947706e-06
351,2.781299524564184e-06
352,2.789223454833598e-06
353,2.797147385103011e-06
354,2.805071315372425e-06
355,2.8129952456418384e-06
356,2.8209191759112518e-06
357,2.828843106180666e-06
358,2.8367670364500794e-06
359,2.844690966719493e-06
360,2.8526148969889066e-06
361,2.86053882725832e-06
362,2.868462757527734e-06
363,2.8763866877971476e-06
